listing-location,location_encoded,bed,bath,listing-floorarea,listing-floorarea 2,price
"Gading Serpong, Tangerang Selatan, Banten",8,4.0,3.0,105.0,24285714.0,25500000.0
"Jl Cluster Berryl, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,120.0,20833333.0,25000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,89.0,27976190.0,23500000.0
"Graha Carissa, Serpong Utara, Tangerang Selatan, Banten",14,2.0,1.0,90.0,15740741.0,17000000.0
"Cluster Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,150.0,18877551.0,18500000.0
"Sektor 9, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,180.0,25163399.0,38500000.0
"Cluster Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",2,6.0,4.0,365.0,17013889.0,49000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,50.0,8881579.0,
"Graha Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,150.0,17142857.0,18000000.0
"Cluster Strozzi Symphonia Gading Serpong, BSD, Tangerang Selatan, Banten",1,4.0,3.0,92.0,29702381.0,24950000.0
"Serpong, Tangerang Selatan, Banten",13,2.0,1.0,41.0,15138889.0,10900000.0
"jln Pandawa, Pamulang, Tangerang Selatan, Banten",11,3.0,3.0,69.0,10714286.0,
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,38.0,8916667.0,
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,38.0,8916667.0,
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,38.0,8916667.0,
"Serpong paradise city, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,55.0,8333333.0,
"lele 5, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,65.0,14983333.0,
"BSD, BSD, Tangerang Selatan, Banten",1,4.0,4.0,185.0,24761905.0,52000000.0
"Alegria Park, Bsd City, BSD, Tangerang Selatan, Banten",1,3.0,2.0,130.0,20952381.0,22000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,130.0,19642857.0,19250000.0
"Jalan Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",12,2.0,1.0,50.0,11866667.0,
"Foresta bsd, BSD, Tangerang Selatan, Banten",1,3.0,3.0,255.0,20500000.0,41000000.0
"Bsd, BSD, Tangerang Selatan, Banten",1,3.0,2.0,55.0,8333333.0,
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,90.0,16145833.0,15500000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,75.0,7777778.0,
"Ciputat Timur, Tangerang Selatan, Banten",7,5.0,3.0,300.0,14500000.0,29000000.0
"Ciputat, Tangerang Selatan, Banten",6,2.0,1.0,33.0,20000000.0,12000000.0
"Jl. Semeru 1 A2 No. 17, jombang, ciputat, Ciputat, Tangerang Selatan, Banten",6,5.0,4.0,200.0,14490566.0,38400000.0
"Graha Raya, Serpong Utara, Tangerang Selatan, Banten",14,2.0,1.0,110.0,15816327.0,15500000.0
"Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,98.0,23333333.0,21000000.0
"Serpong, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,55.0,8333333.0,
"Jl Wortel No 7 Sektor 1.6 Griya Loka, Serpong, Tangerang Selatan, Banten",13,4.0,4.0,118.0,21666667.0,19500000.0
"Serpong, Tangerang Selatan, Banten",13,3.0,2.0,92.0,28571429.0,24000000.0
"gading serpong, Pondok Aren, Tangerang Selatan, Banten",12,4.0,3.0,129.0,23351562.0,29890000.0
"gading serpong, Pamulang, Tangerang Selatan, Banten",11,4.0,3.0,129.0,23351562.0,29890000.0
"Serpong, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,55.0,8333333.0,
"Sektor 6, Gading Serpong, Tangerang Selatan, Banten",8,2.0,1.0,50.0,12500000.0,
"Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,45.0,23194444.0,16700000.0
"VOLTA, Gading Serpong, Tangerang Selatan, Banten",8,3.0,3.0,132.0,23109244.0,27500000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,55.0,10000000.0,
"BSD, Tangerang Selatan, Banten",1,3.0,4.0,300.0,13784461.0,55000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,290.0,23904382.0,60000000.0
"BSD, Tangerang Selatan, Banten",1,2.0,1.0,55.0,11250000.0,15750000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,177.0,40277778.0,58000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,150.0,20138889.0,14500000.0
"Taman Berryl Residence, Serpong Utara, Tangerang Selatan, Banten",14,3.0,2.0,63.0,20833333.0,15000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,300.0,13126492.0,55000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,110.0,16666667.0,21000000.0
"BSD, BSD, Tangerang Selatan, Banten",1,4.0,3.0,200.0,14348786.0,65000000.0
"Jl. Tarumanegara, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,4.0,200.0,18333333.0,22000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,171.0,22754491.0,38000000.0
"BSD, Tangerang Selatan, Banten",1,3.0,2.0,180.0,16190476.0,17000000.0
"Gading serpong, Gading Serpong, Tangerang Selatan, Banten",8,8.0,6.0,525.0,31349206.0,79000000.0
"De Latinos Serpong BSD, BSD, Tangerang Selatan, Banten",1,5.0,4.0,180.0,20312500.0,26000000.0
"Greenwich BSD City, BSD, Tangerang Selatan, Banten",1,4.0,4.0,170.0,23504274.0,55000000.0
"Graha raya, Bintaro, Tangerang Selatan, Banten",2,4.0,2.0,170.0,666667.0,
"Melati Mas Serpong, BSD, Tangerang Selatan, Banten",1,4.0,2.0,109.0,11009174.0,12000000.0
"BSD, Tangerang Selatan, Banten",1,6.0,4.0,340.0,4144527.0,78000000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,4.0,4.0,1600.0,9600000.0,120000000.0
"Jl. Teratai, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,110.0,9500000.0,19000000.0
"Jalan Grisea Raya no 1, Gading Serpong, Tangerang Selatan, Banten",8,5.0,4.0,186.0,21804511.0,58000000.0
"Ciputat Timur, Tangerang Selatan, Banten",7,3.0,2.0,200.0,18965517.0,22000000.0
"bsd city, Serpong Utara, Tangerang Selatan, Banten",14,4.0,6.0,255.0,34027778.0,49000000.0
"Sektor 9, Bintaro, Tangerang Selatan, Banten",2,4.0,5.0,380.0,1000000.0,
"Serpong Utara, Tangerang Selatan, Banten",14,5.0,4.0,163.0,14403292.0,35000000.0
"Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,50.0,7.0,630.0
"Jl.lombok, Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,72.0,15533333.0,
"BSD, BSD, Tangerang Selatan, Banten",1,3.0,2.0,128.0,19753086.0,32000000.0
"Serpong Utara, Tangerang Selatan, Banten",14,3.0,2.0,90.0,1056338.0,
"Serpong, Tangerang Selatan, Banten",13,2.0,2.0,36.0,12878788.0,
"Graha bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,120.0,24305556.0,17500000.0
"Jalan Swadaya, Pamulang, Tangerang Selatan, Banten",11,2.0,2.0,65.0,9464286.0,
"Pondok Aren, Tangerang Selatan, Banten",12,7.0,4.0,320.0,16666667.0,44000000.0
"Sektor 8 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",2,4.0,5.0,400.0,22097378.0,59000000.0
"Jl Perkutut, Bintaro, Tangerang Selatan, Banten",2,5.0,6.0,400.0,10666667.0,40000000.0
"Gramercy Alam Sutera, Alam Sutera, Tangerang Selatan, Banten",0,6.0,7.0,451.0,50238095.0,211000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,4.0,360.0,18333333.0,55000000.0
"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,250.0,11627907.0,35000000.0
"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,270.0,17777778.0,32000000.0
"Ciputat Lebak Bulus Cirendeu, Ciputat, Tangerang Selatan, Banten",6,5.0,3.0,250.0,5315615.0,32000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,4.0,120.0,21666667.0,26000000.0
"Jalan Karya, Ciputat Timur, Tangerang Selatan, Banten",7,4.0,3.0,500.0,4454343.0,100000000.0
"Pondok Aren Bintaro, Bintaro, Tangerang Selatan, Banten",2,2.0,1.0,45.0,12972973.0,
"Paradise Resort, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,77.0,16397849.0,15250000.0
"Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,220.0,24062500.0,38500000.0
"Pondok Aren, Tangerang Selatan, Banten",12,4.0,3.0,80.0,19444444.0,14000000.0
"gading serpong, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,92.0,28571429.0,24000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,120.0,15972222.0,23000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,180.0,20833333.0,25000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,5.0,200.0,21761658.0,42000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,6.0,350.0,30666667.0,69000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,5.0,283.0,31854839.0,79000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,125.0,23958333.0,23000000.0
"Cluster Bohemia Gading Serpong Tangerang, Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,107.0,20000000.0,21000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,90.0,17604167.0,16900000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,140.0,19791667.0,19000000.0
"Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,69.0,18452381.0,15500000.0
"Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,57.0,23333333.0,14000000.0
"Jl Kana 3 BSD, Lengkong Gudang, Serpong, Serpong, Tangerang Selatan, Banten",13,4.0,3.0,230.0,16666667.0,30000000.0
"Serpong Utara, Tangerang Selatan, Banten",14,7.0,4.0,260.0,14062500.0,22500000.0
"Ciputat, Tangerang Selatan, Banten",6,4.0,2.0,150.0,26315789.0,25000000.0
"Griya Loka, BSD, Tangerang Selatan, Banten",1,4.0,3.0,140.0,18835616.0,27499999.99
"Cluster Patagonia, De Latinos, BSD, Tangerang Selatan, Banten",1,3.0,2.0,120.0,17857143.0,20000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,200.0,18750000.0,27000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,130.0,25000000.0,30000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,156.0,24444444.0,33000000.0
"BSD, Tangerang Selatan, Banten",1,6.0,3.0,300.0,12541806.0,37500000.0
"BSD, Tangerang Selatan, Banten",1,6.0,3.0,270.0,17741935.0,38500000.0
"BSD, Tangerang Selatan, Banten",1,5.0,6.0,300.0,22500000.0,45000000.0
"BSD, Tangerang Selatan, Banten",1,6.0,4.0,240.0,16417910.0,55000000.0
"BSD, Tangerang Selatan, Banten",1,5.0,4.0,194.0,18078512.0,43750000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,115.0,15894466.0,20980694.98
"Pondok Aren, Tangerang Selatan, Banten",12,4.0,4.0,125.0,18333333.0,22000000.0
"Pondok Aren, Tangerang Selatan, Banten",12,4.0,4.0,119.0,18750000.0,18000000.0
"Lestari, Ciputat, Tangerang Selatan, Banten",6,4.0,4.0,170.0,16296296.0,22000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,250.0,25000000.0,85000000.0
"Jl. Bohemia Raya, Gading Serpong, Tangerang Selatan, Banten",8,4.0,4.0,150.0,17916667.0,21500000.0
"Bintaro Sektor 7, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,221.0,31862745.0,65000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,88.0,31944444.0,23000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,249.0,27450980.0,56000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,502.0,55194805.0,170000000.0
"jalan lele 5, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,66.0,13333333.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,320.0,24901961.0,63500000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,290.0,25151515.0,83000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,5.0,236.0,47794118.0,65000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,250.0,19444444.0,35000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,127.0,28187919.0,42000000.0
"Bintaro, Tangerang Selatan, Banten",2,6.0,4.0,200.0,25925926.0,35000000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,142.0,13888889.0,25000000.0
"Cluster Flamingo Bintaro Jaya Sektor 9, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,150.0,14888889.0,33500000.0
"Discovery Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,152.0,27407407.0,37000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,149.0,24581006.0,44000000.0
"Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",6,3.0,3.0,240.0,11290323.0,14000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,250.0,23446328.0,41500000.0
"Jl.lengkong Serpong bsd, BSD, Tangerang Selatan, Banten",1,3.0,2.0,69.0,20000000.0,12000000.0
"villa cinere mas, pisangan, Ciputat Timur, Tangerang Selatan, Banten",7,5.0,5.0,502.0,29545455.0,130000000.0
"Jl.lengkong Serpong Bsd, BSD, Tangerang Selatan, Banten",1,3.0,2.0,69.0,20000000.0,12000000.0
"Pamulang, Tangerang Selatan, Banten",11,3.0,1.0,45.0,8777778.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,420.0,22714286.0,79500000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,290.0,20215633.0,75000000.0
"Jl lengkong raya Al Husainy Bsd, BSD, Tangerang Selatan, Banten",1,3.0,2.0,45.0,10718750.0,
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,300.0,23137255.0,59000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,600.0,23809524.0,150000000.0
"Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten",2,7.0,6.0,400.0,33944954.0,74000000.0
"Kencana Loka, BSD, Tangerang Selatan, Banten",1,5.0,6.0,300.0,22500000.0,45000000.0
"Bintaro, Tangerang Selatan, Banten",2,7.0,5.0,343.0,24705882.0,84000000.0
"Bintaro, Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,55.0,10000000.0,
"Bintaro, Tangerang Selatan, Banten",2,3.0,3.0,100.0,14075630.0,16750000.0
"Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,42.0,8024194.0,
"Cluster Carissa Graha Raya, Serpong Utara, Tangerang Selatan, Banten",14,3.0,2.0,84.0,18750000.0,13500000.0
"Serpong, Tangerang Selatan, Banten",13,4.0,4.0,120.0,16406250.0,21000000.0
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,105.0,17708333.0,17000000.0
"BSD, Tangerang Selatan, Banten",1,6.0,6.0,405.0,30000000.0,69000000.0
"Jl kebon kopi pengasinan gunung Sindur, Serpong, Tangerang Selatan, Banten",13,3.0,3.0,73.0,8522727.0,
"Alam Sutera, Tangerang Selatan, Banten",0,3.0,3.0,90.0,22602740.0,16500000.0
"Jl. Pipit Kompas, Kampung Sawah, Ciputat, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,200.0,21333333.0,32000000.0
"Jalan cendana, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,3.0,52.0,8750000.0,
"Jl. Ambon Nusa Loka, BSD, Tangerang Selatan, BSD, Tangerang Selatan, Banten",1,3.0,2.0,90.0,22023810.0,18500000.0
"Jl. Sukamulya Raya, Serua Indah, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,85.0,8490566.0,
"BSD, Tangerang Selatan, Banten",1,3.0,3.0,88.0,30000000.0,18000000.0
"Perumahan Bintaro Sektor 3, Pondok Aren, Tangerang Selatan, Banten",12,4.0,3.0,700.0,9154316.0,105000000.0
"Sektor 1, Bintaro, Tangerang Selatan, Banten",2,8.0,6.0,420.0,20250522.0,97000000.0
"Curug Sangereng, Tangerang, gading serpong, Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,53.0,30380000.0,12152000.0
"Jalan kebon kopi, Ciputat, Tangerang Selatan, Banten",6,3.0,3.0,66.0,7500000.0,
"Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,152.0,24444444.0,33000000.0
"jl. BSD boulevard utara, BSD, Tangerang Selatan, Banten",1,5.0,5.0,544.0,57997333.0,217490000.0
"Savia BSD, BSD, Tangerang Selatan, Banten",1,5.0,4.0,133.0,32142857.0,36000000.0
"De Nara Bsd Cityan, BSD, Tangerang Selatan, Banten",1,5.0,5.0,650.0,22222222.0,100000000.0
"Jl. Lkr Bumi Botanika Utara, Serpong, Tangerang Selatan, Banten",13,4.0,4.0,248.0,36289810.0,65321657.99999999
"Kebayoran Symponi, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,249.0,27450980.0,56000000.0
"Sekolah Al Azhar BSD, Bintaro, Tangerang Selatan, Banten",2,6.0,4.0,240.0,16417910.0,55000000.0
"De Park BSD, BSD, Tangerang Selatan, Banten",1,5.0,5.0,180.0,23500000.0,47000000.0
"Jalan Raya Ciputat Parung, Pamulang, Tangerang Selatan, Banten",11,3.0,1.0,45.0,8777778.0,
"Bintaro, Tangerang Selatan, Banten",2,6.0,5.0,300.0,15811966.0,37000000.0
"Puri Bintaro, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,162.0,22400000.0,28000000.0
"Cluster Valencia, Bintaro, Tangerang Selatan, Banten",2,4.0,2.0,227.0,11894273.0,27000000.0
"Bintaro Sektor 2, Bintaro, Tangerang Selatan, Banten",2,8.0,6.0,498.0,14433962.0,76500000.0
"BSD, Tangerang Selatan, Banten",1,2.0,2.0,69.0,20952381.0,22000000.0
"Komp Duta Loka, Pondok Aren, Tangerang Selatan, Banten",12,5.0,3.0,300.0,5925926.0,40000000.0
"Pondok Indah, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,200.0,40625000.0,65000000.0
"Serpong, Tangerang Selatan, Banten",13,3.0,3.0,104.0,20850298.0,17514250.0
"Malibu village gading serpong, Gading Serpong, Tangerang Selatan, Banten",8,3.0,2.0,55.0,937500.0,
"Mertilang, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,200.0,14898990.0,29500000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,218.0,25490196.0,52000000.0
"Ciputat, Tangerang Selatan, Banten",6,2.0,2.0,45.0,15476190.0,13000000.0
"Camar, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,250.0,20833333.0,37500000.0
"JL Kampung Utan, Ciputat, Tangerang Selatan, Banten",6,8.0,6.0,400.0,11024643.0,170000000.0
"jalan benda raya, pamulang, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,111.0,12606838.0,14750000.0
"Menteng Utama Sektor 7 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,250.0,20588235.0,42000000.0
"JL Cut Nyak Dien, Bintaro, Tangerang Selatan, Banten",2,6.0,6.0,400.0,22666667.0,51000000.0
"Jl. Kemuning 3 Pamulang Barat, Pamulang, Tangerang Selatan, Banten",11,4.0,3.0,80.0,25000000.0,15000000.0
"Cluster Eldora, Serpong Utara, Tangerang Selatan, Banten",14,3.0,3.0,105.0,11458333.0,13750000.0
"Jl. Ciwaru Tenjo Tangerang, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,42.0,5454545.0,
"Puri Bintaro, Bintaro, Tangerang Selatan, Banten",2,5.0,4.0,138.0,21538462.0,28000000.0
"Jl. Legoso Ciputat, Ciputat Timur, Tangerang Selatan, Banten",7,3.0,2.0,98.0,17307692.0,13500000.0
"Bintaro, Tangerang Selatan, Banten",2,3.0,2.0,110.0,18229167.0,17500000.0
"Bintaro sektor 8, Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,295.0,14420063.0,46000000.0
"nusaloka, BSD, Tangerang Selatan, Banten",1,3.0,3.0,131.0,10416667.0,15000000.0
"Jl. Canossa, Pondok Aren, Tangerang Selatan, Banten",12,2.0,1.0,36.0,11500000.0,
"Cijantra, Pagedangan, Tangerang, BSD, Tangerang Selatan, Banten",1,2.0,2.0,63.0,32609375.0,15652500.0
"Nusaloka, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,45.0,9583333.0,11500000.0
"nusaloka, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,130.0,20408163.0,20000000.0
"Vinca, BSD, Tangerang Selatan, Banten",1,2.0,1.0,45.0,11666667.0,14000000.0
"BSD, Tangerang Selatan, Banten",1,5.0,3.0,250.0,10833333.0,39000000.0
"Bintaro, Tangerang Selatan, Banten",2,5.0,3.0,198.0,125000000.0,330000000.0
"Jalan Sawo, Pondok Benda, Pamulang, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,65.0,11217949.0,
"Bintaro, Tangerang Selatan, Banten",2,4.0,4.0,220.0,19230769.0,30000000.0
"Pamulang, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,120.0,10069444.0,
"Pondok Aren, Tangerang Selatan, Banten",12,2.0,1.0,45.0,11842105.0,
"Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",2,4.0,3.0,100.0,16086957.0,18500000.0
"Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",12,5.0,4.0,140.0,8771930.0,10000000.0
"BSD, Tangerang Selatan, Banten",1,4.0,3.0,100.0,5352564.0,
"Green Serpong Bintaro, Serpong, Tangerang Selatan, Banten",13,2.0,1.0,41.0,15138889.0,10900000.0
"Bintaro sektor 3A, Bintaro, Tangerang Selatan, Banten",2,4.0,2.0,120.0,21666667.0,26000000.0
"Jl. Palapa Sarua, Ciputat, Ciputat, Tangerang Selatan, Banten",6,4.0,3.0,125.0,17916667.0,12900000.0
"Serpong, Tangerang Selatan, Banten",13,2.0,2.0,75.0,16111111.0,14500000.0
"Pamulang, Tangerang Selatan, Banten",11,3.0,1.0,125.0,6750000.0,
"Jl. Bratasena V No.10, Pamulang, Tangerang Selatan, Banten",11,2.0,1.0,40.0,9833333.0,
"Pamulang, Tangerang Selatan, Banten",11,4.0,3.0,296.0,8881579.0,27000000.0
"Jl.Lkr Bumi Botanika Utara, Serpong, Tangerang Selatan, Banten",13,4.0,4.0,248.0,35483370.0,63870065.599999994
"Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,186.0,7500000.0,
"The icon, BSD, Tangerang Selatan, Banten",1,6.0,5.0,401.0,30000000.0,69000000.0
"jl.benda 11,Pamulang 2,tangsel, Alam Sutera, Tangerang Selatan, Banten",0,3.0,2.0,50.0,10750000.0,
"jl.benda 11,Pamulang 2,tangsel, Serpong, Tangerang Selatan, Banten",13,3.0,2.0,50.0,10750000.0,
"Bintaro sektor 3a, Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,72.0,25000000.0,15000000.0
"jl.benda 11,Pamulang,tangsel, Pondok Aren, Tangerang Selatan, Banten",12,3.0,2.0,50.0,10750000.0,
"jl.benda 11,Pamulang 2,tangsel, Ciputat, Tangerang Selatan, Banten",6,3.0,2.0,50.0,10750001.0,
"jl.benda 11,benda 2, tangsel, Pamulang, Tangerang Selatan, Banten",11,3.0,2.0,50.0,10750000.0,
"Bintaro, Tangerang Selatan, Banten",2,2.0,2.0,72.0,14800000.0,
